chiSquare info:
=======selected========
玩家 21393.0895056
车型 20606.4333416
比赛 16929.3591061
游戏 15509.1045909
球队 15264.349511
汽车 13117.9112526
发动机 12045.4488954
球员 11936.2027012
主场 10098.4977743
车身 9875.64940385
学生 9430.19514291
购车 8761.08708612
内饰 8567.00148093
联赛 8537.08112601
处理器 8189.65396895
学校 7942.06895381
新车 7800.80115372
客场 7323.60345098
观众 7058.07314596
体育 6965.26452342
考试 6866.08799997
教育 6847.55556626
动力 6833.34821816
考生 6768.8954721
演员 6672.42115762
互联网 6387.15682893
导演 6354.4478149
4s店 6317.04398965
军事 6119.32709311
主帅 6098.77504539
像素 6064.4169247
民警 6060.29407858
比分 5888.90463719
整车 5816.80948826
用户 5808.82265902
球迷 5698.25943136
变速箱 5686.42236928
冠军 5657.8883397
机身 5544.792096
车展 5409.68521112
大灯 5402.17887541
座椅 5344.31309575
格栅 5258.04663424
gb 5211.59860174
suv 5195.09829113
网游 5133.87289961
分辨率 5015.3442719
副本 4856.61037421
轴距 4847.49804637
前脸 4785.04009827
季后赛 4768.71507679
毕业生 4760.45150849
战斗 4710.58688369
进球 4682.69479873
最大功率 4681.47622804
内置 4591.06492379
海军 4558.94104543
防守 4557.63950008
户型 4549.33935247
屏幕 4515.58145961
方向盘 4513.3382848
饰演 4506.47592715
手机 4457.49650877
住宅 4443.95590864
招生 4384.63872093
玩家们 4345.32707545
gh 4301.21543455
决赛 4299.77664412
主演 4244.76609704
高校 4234.60566189
进气 4229.77573297
电影 4215.72243949
部队 4170.25687224
摄像头 4160.275142
俱乐部 4140.64644366
卫视 4133.84331302
外观 4122.97726855
教学 4112.53191657
项目 4038.25684588
教师 4022.70917299
剧中 4014.00307555
击败 3966.60733024
对阵 3947.07877411
电子商务 3925.13023421
驾驶 3922.8980551
欧冠 3885.19580558
轿车 3880.72867538
油耗 3875.39225069
内存 3808.99030389
进攻 3762.49371225
报考 3759.74588964
车主 3758.02536277
配置 3733.99698224
经销 3721.48476815
轮 3717.52150828
警方 3705.86487573
食物 3684.68166642
爱卡 3662.20834161
男子 3646.41166484
中控台 3643.88901609
boss 3624.86491432
电视剧 3613.43220754
ceo 3609.07946867
助攻 3572.27121412
开启 3549.33050307
增压 3548.7500789
楼盘 3533.03592192
车内 3519.7110618
派出所 3516.28194369
one 3511.75751538
应用 3492.04955449
教育部 3457.34356204
大学 3455.57857624
官兵 3450.75639214
含有 3442.02946685
导弹 3436.80985446
对手 3431.89410289
新款 3426.83150408
车辆 3425.76777749
球场 3423.26094815
阿里巴巴 3404.99960929
网购 3382.52004247
学习 3350.98628972
操作系统 3346.71775981
豪华 3335.09753655
篮板 3334.13039112
录取 3327.58721282
智能手机 3318.33547852
动感 3311.418446
镀铬 3277.54937632
设计 3270.70765407
投资者 3260.67515605
技能 3217.8858337
主教练 3212.63558954
主频 3199.44672789
半决赛 3189.53946974
四核 3172.04361066
扭矩 3143.67786052
最大扭矩 3141.19388537
配套 3140.28809821
高考 3135.92472812
海域 3127.77686735
下跌 3125.7458281
同级 3118.52148202
开发商 3118.49281387
pc 3117.67645653
教练 3111.44907493
